ProductID,StoreID,CurrentStock,ReorderLevel
1,1,28,15
2,1,82,25
3,1,0,22
4,1,31,7
5,1,33,24
6,1,108,22
7,1,42,18
8,1,0,27
9,1,59,14
10,1,40,11
11,1,67,18
12,1,69,26
13,1,26,18
14,1,42,18
15,1,24,12
16,1,41,25
17,1,17,14
18,1,0,22
19,1,56,23
20,1,30,20
1,2,126,27
2,2,109,21
3,2,26,11
4,2,89,13
5,2,41,20
6,2,102,28
7,2,83,21
8,2,63,10
9,2,46,24
10,2,0,11
11,2,36,25
12,2,27,15
13,2,21,12
14,2,75,26
15,2,61,21
16,2,75,23
17,2,42,21
18,2,29,22
19,2,40,25
20,2,28,24
1,3,63,14
2,3,65,21
3,3,0,27
4,3,109,27
5,3,34,21
6,3,19,15
7,3,101,21
8,3,37,28
9,3,25,15
10,3,66,20
11,3,0,25
12,3,58,13
13,3,53,25
14,3,0,25
15,3,43,15
16,3,64,13
17,3,33,14
18,3,61,23
19,3,27,12
20,3,33,18
1,4,76,17
2,4,76,26
3,4,28,15
4,4,46,18
5,4,95,11
6,4,50,20
7,4,74,25
8,4,85,16
9,4,44,24
10,4,19,13
11,4,36,23
12,4,57,14
13,4,64,24
14,4,75,26
15,4,63,20
16,4,56,17
17,4,62,19
18,4,58,13
19,4,60,22
20,4,13,11
1,5,93,20
2,5,31,24
3,5,28,14
4,5,0,27
5,5,0,25
6,5,56,29
7,5,35,18
8,5,61,21
9,5,59,16
10,5,56,12
11,5,0,12
12,5,38,18
13,5,56,25
14,5,50,23
15,5,34,13
16,5,34,25
17,5,69,21
18,5,23,11
19,5,33,18
20,5,66,18
1,6,0,27
2,6,91,27
3,6,55,16
4,6,79,15
5,6,79,17
6,6,94,25
7,6,84,29
8,6,70,12
9,6,54,18
10,6,33,23
11,6,34,25
12,6,0,15
13,6,73,25
14,6,0,16
15,6,74,26
16,6,53,14
17,6,0,19
18,6,46,14
19,6,0,26
20,6,0,16
1,7,20,21
2,7,67,10
3,7,0,23
4,7,96,27
5,7,41,29
6,7,0,11
7,7,32,13
8,7,0,26
9,7,65,18
10,7,36,17
11,7,49,15
12,7,40,17
13,7,31,15
14,7,66,18
15,7,56,23
16,7,32,24
17,7,50,12
18,7,0,12
19,7,36,11
20,7,16,16
1,8,27,14
2,8,53,19
3,8,33,14
4,8,99,21
5,8,0,22
6,8,28,25
7,8,39,10
8,8,86,27
9,8,51,19
10,8,17,11
11,8,16,16
12,8,39,12
13,8,70,24
14,8,14,13
15,8,28,17
16,8,33,20
17,8,0,13
18,8,57,24
19,8,32,23
20,8,42,25
1,9,46,29
2,9,82,19
3,9,51,15
4,9,69,19
5,9,115,25
6,9,62,18
7,9,28,20
8,9,88,19
9,9,33,11
10,9,18,17
11,9,51,19
12,9,46,11
13,9,47,24
14,9,42,11
15,9,58,15
16,9,0,22
17,9,33,16
18,9,34,19
19,9,46,17
20,9,46,22
1,10,0,12
2,10,111,18
3,10,81,26
4,10,60,17
5,10,77,20
6,10,0,21
7,10,0,23
8,10,31,23
9,10,0,16
10,10,31,21
11,10,33,13
12,10,58,20
13,10,13,11
14,10,28,18
15,10,35,26
16,10,66,15
17,10,41,13
18,10,48,11
19,10,66,24
20,10,45,12
1,11,60,19
2,11,102,9
3,11,55,27
4,11,0,21
5,11,38,19
6,11,95,18
7,11,95,22
8,11,0,25
9,11,61,18
10,11,38,25
11,11,46,14
12,11,60,11
13,11,34,22
14,11,57,20
15,11,21,14
16,11,41,20
17,11,60,24
18,11,13,11
19,11,40,24
20,11,27,20
1,12,71,11
2,12,74,19
3,12,90,13
4,12,14,9
5,12,80,26
6,12,0,21
7,12,109,23
8,12,0,26
9,12,44,20
10,12,17,16
11,12,33,11
12,12,58,15
13,12,30,23
14,12,44,17
15,12,47,13
16,12,35,21
17,12,66,17
18,12,51,15
19,12,56,16
20,12,57,21
