SaleID,Date,StoreID,ProductID,Quantity,Revenue
1,2024-01-01,5,8,2,842.78
2,2024-01-01,7,4,1,949.99
3,2024-01-02,1,9,1,1099.99
4,2024-01-02,10,6,1,349.99
5,2024-01-03,4,12,1,949.99
6,2024-01-03,9,19,2,599.98
7,2024-01-03,9,18,3,299.97
8,2024-01-03,12,1,1,1839.99
9,2024-01-05,8,16,1,329.99
10,2024-01-05,10,9,1,1066.99
11,2024-01-05,10,14,1,775.99
12,2024-01-05,12,18,1,91.99
13,2024-01-06,1,1,1,1839.99
14,2024-01-06,11,17,1,48.49
15,2024-01-07,5,1,1,1839.99
16,2024-01-07,5,1,1,1939.99
17,2024-01-08,4,1,1,1939.99
18,2024-01-08,11,17,1,45.99
19,2024-01-09,1,19,1,284.99
20,2024-01-09,11,1,1,1759.99
21,2024-01-10,1,18,1,94.99
22,2024-01-10,1,2,1,1299.99
23,2024-01-10,9,5,1,569.99
24,2024-01-10,12,18,2,199.98
25,2024-01-11,5,7,3,284.97
26,2024-01-11,7,10,1,1349.97
27,2024-01-13,4,18,3,275.97
28,2024-01-13,5,10,1,1309.49
29,2024-01-13,6,13,1,1066.99
30,2024-01-13,7,20,1,459.99
31,2024-01-13,10,6,2,664.98
32,2024-01-13,10,18,1,91.99
33,2024-01-14,5,10,1,1282.49
34,2024-01-14,6,19,1,269.99
35,2024-01-14,7,18,1,94.99
36,2024-01-15,4,16,1,320.09
37,2024-01-15,7,7,1,94.99
38,2024-01-15,10,9,1,1011.99
39,2024-01-16,5,14,1,719.99
40,2024-01-16,9,7,1,91.99
41,2024-01-17,4,6,1,339.49
42,2024-01-17,7,17,2,99.98
43,2024-01-17,10,7,3,269.97
44,2024-01-18,1,18,2,175.98
45,2024-01-19,3,15,3,749.97
46,2024-01-21,10,10,1,1322.99
47,2024-01-22,1,5,3,1799.91
48,2024-01-22,4,9,1,1077.99
49,2024-01-22,10,13,1,1077.99
50,2024-01-24,1,15,1,249.97
51,2024-01-24,5,14,1,799.99
52,2024-01-24,5,8,2,859.94
53,2024-01-25,10,10,1,1349.99
54,2024-01-26,1,7,1,99.99
55,2024-01-26,12,4,1,999.99
56,2024-01-27,1,12,1,999.99
57,2024-01-27,3,6,2,699.98
58,2024-01-27,4,1,1,1959.97
59,2024-01-27,5,3,1,1099.99
60,2024-01-28,7,6,1,349.99
61,2024-01-29,1,7,1,99.99
62,2024-01-30,5,10,1,1322.99
63,2024-01-31,9,6,2,699.98
64,2024-01-31,10,5,1,599.99
65,2024-01-31,10,15,1,249.99
66,2024-02-01,4,13,1,1011.99
67,2024-02-01,8,3,1,1011.97
68,2024-02-02,12,20,1,459.99
69,2024-02-03,4,6,1,349.99
70,2024-02-03,5,6,2,678.94
71,2024-02-03,10,17,2,94.98
72,2024-02-04,4,17,1,43.99
73,2024-02-04,8,20,1,459.99
74,2024-02-05,2,20,1,474.99
75,2024-02-05,4,18,1,91.99
76,2024-02-05,4,6,1,339.49
77,2024-02-05,8,17,1,48.49
78,2024-02-05,12,20,1,499.99
79,2024-02-05,12,7,1,94.99
80,2024-02-07,1,20,3,1424.97
81,2024-02-07,4,18,3,290.97
82,2024-02-07,6,15,1,237.49
83,2024-02-07,7,9,1,1011.99
84,2024-02-08,5,11,2,1551.98
85,2024-02-09,1,2,1,1195.99
86,2024-02-09,1,17,1,49.99
87,2024-02-09,1,15,1,242.49
88,2024-02-09,2,4,1,999.99
89,2024-02-09,6,8,1,408.49
90,2024-02-09,7,17,1,45.99
91,2024-02-09,10,15,1,249.99
92,2024-02-10,7,16,2,626.98
93,2024-02-11,2,8,1,395.59
94,2024-02-11,7,11,1,735.99
95,2024-02-11,12,11,1,735.99
96,2024-02-12,1,10,1,1349.99
97,2024-02-12,4,5,3,1655.97
98,2024-02-12,8,3,1,1099.99
99,2024-02-13,1,11,1,799.99
100,2024-02-13,1,7,2,175.94
101,2024-02-13,5,20,1,439.99
102,2024-02-13,5,10,1,1282.49
103,2024-02-13,9,2,1,1195.99
104,2024-02-13,12,4,2,1839.98
105,2024-02-14,1,4,1,969.99
106,2024-02-14,2,5,1,551.99
107,2024-02-14,4,8,2,791.18
108,2024-02-16,1,14,1,799.99
109,2024-02-16,4,15,1,244.99
110,2024-02-18,1,9,2,2199.98
111,2024-02-18,1,18,1,99.99
112,2024-02-18,7,19,1,299.99
113,2024-02-19,8,3,1,1099.99
114,2024-02-20,7,10,1,1322.99
115,2024-02-21,10,19,1,299.99
116,2024-02-23,4,16,1,329.99
117,2024-02-23,6,16,3,970.17
118,2024-02-23,11,17,2,97.98
119,2024-02-25,4,15,1,249.99
120,2024-02-25,4,10,1,1322.99
121,2024-02-25,6,12,1,979.99
122,2024-02-25,6,13,1,1099.99
123,2024-02-26,6,14,2,1599.98
124,2024-02-28,4,7,1,97.99
125,2024-02-28,7,11,1,799.99
126,2024-02-29,2,2,1,1299.99
127,2024-02-29,6,19,1,299.99
128,2024-02-29,12,16,1,329.99
129,2024-03-01,1,9,1,1099.99
130,2024-03-01,5,5,1,539.99
131,2024-03-01,11,10,1,1309.49
132,2024-03-01,11,17,1,44.99
133,2024-03-01,11,15,1,229.99
134,2024-03-02,1,9,1,1066.99
135,2024-03-02,8,6,1,332.49
136,2024-03-02,9,5,2,1163.98
137,2024-03-02,10,4,1,999.99
138,2024-03-02,10,5,1,581.99
139,2024-03-02,10,5,2,1199.98
140,2024-03-02,12,13,1,1011.99
141,2024-03-03,8,7,3,269.97
142,2024-03-03,9,13,1,1044.99
143,2024-03-04,1,10,1,1309.49
144,2024-03-04,1,10,1,1282.49
145,2024-03-04,4,10,1,1309.47
146,2024-03-04,8,7,1,94.99
147,2024-03-04,10,17,2,99.98
148,2024-03-05,1,17,3,142.41
149,2024-03-05,1,12,1,919.99
150,2024-03-06,6,18,1,91.99
151,2024-03-07,5,9,1,1099.99
152,2024-03-07,5,6,1,332.49
153,2024-03-07,5,9,1,989.99
154,2024-03-07,12,15,1,229.99
